premise,choice1,choice2,question,idx,label
I paused to stop talking.,I lost my voice.,I ran out of breath.,cause,27,1
The frozen food thawed.,I put it in the microwave.,I covered it with plastic wrap.,cause,28,0
The employee faked sick.,He had stomach cramps.,He wanted a day off.,cause,29,1
The girl landed in the pool.,She ran on the pool deck.,She jumped off the diving board.,cause,30,1
The movie tickets sold out.,It was opening day for the movie.,The movie received poor reviews.,cause,31,0
The man lost weight.,People isolated him.,People complimented him.,effect,32,1
The girl's hands became blistered.,She typed up a letter.,She climbed up a rope.,cause,33,1
The circus performer juggled while riding a unicycle.,The audience cheered in astonishment.,The acrobat swung from a trapeze.,effect,34,0
I lost my patience.,My friend kept me waiting.,My friend arrived on time.,cause,35,0
The warring countries wanted peace.,They developed nuclear weapons.,They negotiated a treaty.,effect,36,1
The man took sleeping medication.,He became drowsy.,He ran a fever.,effect,37,0
The woman bumped into the sofa.,The leg of the sofa came loose.,She bruised her knee.,effect,38,1
The boy squeezed the balloon.,The balloon popped.,The balloon flew away.,effect,39,0
They travelers checked into their hotel room.,They unpacked their suitcases.,They went to the airport.,effect,40,0
I bit into the peach.,The peach bruised.,Juice spilled out.,effect,41,1
My hands became sticky.,I ate a doughnut.,I had a sweet tooth.,cause,42,0
I pushed the door.,The door opened.,The door locked.,effect,43,0
Activists boycotted the products.,The products were tested for quality assurance.,The products were manufactured through child labor.,cause,44,1
I drilled a hole in the wall.,A mouse crawled out of the hole.,Dust blew out of the hole.,effect,45,1
The woman felt envious of her sister.,Her sister was happy.,Her sister got divorced.,cause,46,0
I spilled wine on my shirt.,I put on an apron.,I changed my shirt.,effect,47,1
The cashier opened the cash register.,The customer searched his wallet.,The customer handed her money.,cause,48,1
The street musician attracted a crowd.,People gave him change.,He sent the crowd away.,effect,49,0
The little boy cried to his babysitter.,He missed his parents.,It was snack time.,cause,50,0
The pilot's radar detected a storm.,The pilot navigated away from the storm.,The pilot flew through the storm.,effect,51,0
The tree shed its leaves.,The leaves turned colors.,The leaves accumulated on the ground.,effect,52,1
The boy was in a mischievous mood.,He decided to play a card game with his sister.,He decided to play a practical joke on his sister.,effect,53,1
The child complained that he had to go to the bathroom.,His father gave him a soda to drink.,His father stopped the car at a gas station.,effect,54,1
The child sprinkled fish food into the tank.,The fish leapt out of the tank.,The fish swam towards the food.,effect,55,1
The woman's political views changed.,She switched her party affiliation.,She engaged in a protest.,effect,56,0
The bathroom sink was clogged.,I turned on the faucet.,I poured drain cleaner into it.,effect,57,1
The passengers got off the train.,The train arrived at the station.,The train blared its whistle.,cause,58,0
The man pressed down on the moist flap of the envelope.,He put a stamp on the envelope.,He sealed the envelope shut.,effect,59,1
The friends lost touch.,They enjoyed each other's company.,They moved to different cities.,cause,60,1
The accountant mismanaged the company's funds.,She was fired from her position.,She went on maternity leave.,effect,61,0
I looked at the clock.,I heard the clock tick.,I wanted to check the time.,cause,62,1
My hand cramped up.,I wrote the essay by hand.,My wife and I held hands.,cause,63,0
The bolt tightened.,I replaced the bolt.,I twisted the wrench.,cause,64,1
The couple signed a lease for an apartment.,The couple moved into the apartment.,The city condemned the apartment.,effect,65,0
The woman sat outside on the porch.,She wanted to watch the sunset.,She thought she saw lightning.,cause,66,0
The man wore a lifejacket in the water.,He couldn't swim.,The water was shallow.,cause,67,0
The woman made a typo in the word processor.,She deleted the document.,She hit the backspace key.,effect,68,1
The girl bragged to her friends.,She got a bad grade.,She won a contest.,cause,69,1
The lawn was muddy.,It poured overnight.,It was full of weeds.,cause,70,0
The woman overslept.,She stayed the night in a hotel.,She forgot to set her alarm clock.,cause,71,1
The man put on sunscreen.,He sat in the shade.,He went to the beach.,cause,72,1
The researchers proved the theory.,The researchers retracted the theory.,Individuals accepted the theory.,effect,73,1
The fans at the game booed.,The game went into overtime.,The referee made a bad call.,cause,74,1
I entered my combination on the lock.,I shut the lock.,The lock popped open.,effect,75,1
The crowd intensified.,The father handed his son some money.,The father grabbed his son's hand.,effect,76,1
The snow was blocking the driveway.,I gathered the snow into a snowball.,I shoveled the snow out of the way.,effect,77,1
The kayakers paddled their oars.,The kayak reached the shore.,The kayak hit a wave.,effect,78,0
The girl lost control of her bike.,She let go of the handlebars.,She crashed into a fence.,effect,79,1
I turned on the fan.,Water sprinkled onto my skin.,I felt cool air pass over me.,effect,80,1
The surfers returned to the beach.,They were drenched.,They saw a shark.,cause,81,1
I pulled the drain plug in the bathtub.,The water drained out of the tub.,The water splashed onto the floor.,effect,82,0
The husband felt guilty about cheating on his wife.,He accused her of infidelity.,He confessed his infidelity to her.,effect,83,1
The ink on the poster smeared.,I waited for the ink to dry.,I spilled water on the poster.,cause,84,1
The child woke up screaming.,He had a nightmare.,He wet the bed.,cause,85,0
The boy put his feet up on the table.,His father sat down at the table.,His father lectured him.,effect,86,1
My friend turned his head in my direction.,I shouted his name.,I waved my arms.,cause,87,0
The government oppressed its citizens.,The citizens staged a revolt.,The citizens registered to vote.,effect,88,0
The boy was lost in the woods.,He pitched a tent.,He screamed for help.,effect,89,1
The woman travelled abroad.,She wanted to learn how to draw.,She wanted to learn about other cultures.,cause,90,1
The man was jealous of his coworker.,His coworker got a promotion.,His coworker worked late.,cause,91,0
The man witnessed aliens.,He was hallucinating.,He was meditating.,cause,92,0
The man's hair turned blonde.,He put bleach in it.,He put shampoo in it.,cause,93,0
The artist created new work.,She critiqued her previous work.,She felt a stroke of inspiration.,cause,94,1
The son moved away from home.,He was discharged from the military.,He was going to college.,cause,95,1
Books fell out of the bookcase.,The shelves were covered with dust.,An earthquake shook the bookcase.,cause,96,1
The electricity in my house shut off.,I turned on a light.,I reset the circuit breaker.,effect,97,1
We rode the roller coaster.,It looked scary.,It looked fun.,cause,98,1
The bag of popcorn began to pop.,I poured butter into the bag.,I heated it in the microwave.,cause,99,1
A tree fell on the power line.,The electricity in the neighborhood went out.,The forecast predicted heavy winds.,effect,100,0
The speaker made politically incorrect comments.,He bored the audience.,He offended the audience.,effect,101,1
I pricked myself with the pin.,A bead of sweat dripped from my face.,A drop of blood formed on my finger.,effect,102,1
The fish floated on the surface of the tank.,It was hungry.,It was dead.,cause,103,1
The man's voice sounded hoarse.,He had a cold.,He quit smoking.,cause,104,0
The elevator doors opened.,The elevator arrived at the designated floor.,The elevator got stuck between floors.,cause,105,0
The teenager snuck out of the house.,He lied to his parents.,His parents grounded him.,cause,106,1
The bathroom flooded.,The toilet overflowed.,The water heater broke.,cause,107,0
The puppy stayed near its owner.,The owner put a collar on the puppy.,The owner kept the puppy on a leash.,cause,108,1
The man caught his reflection.,He stood under the sprawling tree.,He stood over the calm lake.,cause,109,1
I missed my girlfriend's phone call.,I called her back.,I met her for dinner.,effect,110,0
The family searched the neighborhood.,Their dog ran away from home.,Expensive jewelry was missing from their home.,cause,111,0
I saw my breath when I exhaled.,The weather was chilly.,My chest felt tight.,cause,112,0
The employees formed a union.,They wanted better working conditions.,Their employer raised their wages.,cause,113,0
I baked an apple pie.,A rotting smell filled the kitchen.,A warm aroma filled the kitchen.,effect,114,1
The woman struggled to walk.,She wore high heels.,She took off her shoes.,cause,115,0
Steam rose off of the pot of water.,The water boiled.,I covered the pot.,cause,116,0
All my socks were in the laundry.,I wore sandals.,I wore boots.,effect,117,0
The politician's argument was considered absurd.,He lost the support of voters.,He was accused of corruption.,effect,118,0
Everyone disapproved of the couple's engagement.,The couple got pregnant.,The couple eloped.,effect,119,1
The building was dedicated to the millionaire.,The millionaire wanted the building torn down.,The millionaire contributed the funds to build it.,cause,120,1
The sale associate accused the girl of stealing.,The sales associate saw the girl put merchandise in her purse.,The sales associate helped the girl find the purse she liked.,cause,121,0
The country declared war on the neighboring territory.,Soldiers were sent out to fight.,Soldiers were reunited with their families.,effect,122,0
The court upheld the controversial ruling.,A riot broke loose in front of the courthouse.,A couple exchanged vows in front of the courthouse.,effect,123,0
The girl smelled something burning.,She took the cookies out of the jar.,She left the cookies in the oven.,cause,124,1
The rain was pouring down.,The storm worsened.,I dashed to get inside.,effect,125,1
The building was evacuated.,The elevator stopped functioning.,The fire alarm went off.,cause,126,1
The father resented his son's alcoholism.,The father bought his son a beer.,The father kicked his son out of the house.,effect,127,1
The lawyer took the stairs up to her office.,The secretary went home for the day.,The elevator was out of order.,cause,128,1
The man became annoyed with his friend.,His friend interrupted him.,His friend bought him lunch.,cause,129,0
The girl handed her money to the cashier.,The cashier gave the girl her change.,The cashier forgot to give the girl a receipt.,effect,130,0
The woman was put in a wheelchair.,She was paralyzed in an accident.,She entered the hospital in a stretcher.,cause,131,0
Citizens hung the national flag up outside their homes.,The country was commemorating its independence.,The country was facing economic hardship.,cause,132,0
The team lost the tournament.,They disappointed their fans.,They inspired their fans.,effect,133,0
My friend pointed out that I had food stuck in my teeth.,I felt embarrassed.,I felt proud.,effect,134,0
The boy failed his history exam.,He paid attention in class.,He forgot to study.,cause,135,1
The downtown building collapsed.,An earthquake hit the city.,Crime rates in the city increased.,cause,136,0
The man's girlfriend broke up with him.,He begged her to take him back.,She introduced him to her parents.,effect,137,0
The two children simultaneously reached down to retrieve the ball.,The ball rolled away.,Their heads collided.,effect,138,1
The raccoon ransacked the garbage can.,There was cardboard in the garbage can.,The lid was off the garbage can.,cause,139,1
The boy sharpened the pencil.,It was cheap.,It was dull.,cause,140,1
The cashier denied the woman a refund for the dress.,She lost her receipt.,The dress didn't fit.,cause,141,0
The scratch in my skin was deep.,It healed quickly.,It left a scar.,effect,142,1
The man received strange looks from passengers on the train.,He was staring at the ground.,He was talking to himself.,cause,143,1
The child left crumbs on the floor.,Ants crawled to the crumbs.,The child put the bread away.,effect,144,0
The woman handed her sister a tissue.,The woman's sister folded her hands.,The woman's sister began to cry.,cause,145,1
The man took a mint.,His lips were chapped.,He worried about bad breath.,cause,146,1
The couple left early for the show.,They anticipated traffic around the theatre.,They got directions to the theatre.,cause,147,0
The woman stayed home from work.,Her boss praised her.,Her coworker covered for her.,effect,148,1
The man signed the activists' petition.,He supported their cause.,He denounced them as crazy.,cause,149,0
The actor's heart was fluttering before his performance.,He had stage fright.,He memorized his lines.,cause,150,0
I was lost.,I counted my cash.,I unfolded a map.,effect,151,1
The ripe fruit lingered in the sun.,It was eaten.,It shriveled up.,effect,152,1
The car broke down.,I turned the ignition.,The engine overheated.,cause,153,1
The man hurt his back.,He went to see a psychiatrist.,He stayed in bed for several days.,effect,154,1
I started a fire in the fireplace.,I was out of firewood.,It was cold in the house.,cause,155,1
The woman stopped jogging.,She got a cramp in her side.,She got a second wind.,cause,156,0
I knocked on my neighbor's door.,My neighbor invited me in.,My neighbor left her house.,effect,157,0
The woman sighed with frustration.,Her husband misunderstood her concerns.,Her husband kissed her goodbye.,cause,158,0
The teacher commended the student.,The student answered the question correctly.,The student hesitated to answer the question.,cause,159,0
The woman ran out of eggs.,She went to the farm.,She went to the supermarket.,effect,160,1
I encountered an old friend.,I revealed a secret to him.,I gave him a hug.,effect,161,1
The woman avoided going in the lake.,She caught a fish.,It looked contaminated.,cause,162,1
The student arrived to class soaking wet.,His umbrella was broken.,His bike was stolen.,cause,163,0
The cursor on the computer screen moved.,The user clicked the mouse.,The user shifted the mouse.,cause,164,1
The driver took a detour.,An accident occurred on the main road.,She followed the truck in front of her.,cause,165,0
I hung the wet linen on the outdoor clothesline.,The linen dried.,The linen stained.,effect,166,0
The woman put on her shades.,The sunlight was bright.,She hailed a cab.,cause,167,0
The man gazed at the night sky.,He wished it were summer.,He thought it was beautiful.,cause,168,1
I felt exhausted.,I went to bed early.,I stayed up all night.,effect,169,0
The man went to the barber.,He was growing out his hair.,His hair was getting long.,cause,170,1
The boy played mean tricks on his new classmate.,The boy welcomed the new classmate.,The boy disliked the new classmate.,cause,171,1
I craved a glass of milk.,I was eating cookies.,I was baking bread.,cause,172,0
It began to rain.,The driver turned on the headlights.,The driver shifted the car into reverse.,effect,173,0
The parking lot of the building was empty.,I parked across the street.,I parked near the entrance.,effect,174,1
The writer missed her deadline for the draft submission.,She had writer's block.,She edited the draft.,cause,175,0
The associate hung up on me.,I asked to speak to a supervisor.,I provided my identification number.,cause,176,0
The wind blew through the open window.,The doorbell rang.,The curtains shuddered.,effect,177,1
The electricity in my house shut off.,I unplugged the lamp.,I blew a fuse.,cause,178,1
The weightlifter grunted.,He flexed his muscles in the mirror.,He lifted the bar over his head.,cause,179,1
The student tried to do the math in his head.,He got out a calculator.,He got confused.,effect,180,1
The baby fell asleep.,The father changed the baby's diaper.,The father gently rocked the baby.,cause,181,1
The girl threw the water balloon at the boy.,The boy got a concussion.,The boy got soaked.,effect,182,1
The photographer forgot to use the flash on the camera.,The photos turned out blurry.,Everyone in the photos refused to smile.,effect,183,0
I declined the invitation to the birthday party.,I was lonely.,I was out of town.,cause,184,1
I exercised.,I felt energetic.,I was scared.,cause,185,0
I squeezed the damp sponge.,It soaked up water.,Water seeped out of it.,effect,186,1
The vacationers took a ferry to the resort.,The resort was booked.,The resort was on an island.,cause,187,1
The teenager got a tattoo.,She was afraid of needles.,She wanted to rebel.,cause,188,1
An unfamiliar car parked outside my house.,I became suspicious.,I called the police.,effect,189,0
The criminal turned himself in.,The evidence implicated him., There was no evidence against him.,cause,190,0
The heavyset man decided to lose weight.,He cut out sweets.,He avoided caffeine.,effect,191,0
The girl stepped on the ice.,She slid.,She shivered.,effect,192,0
The woman had rings under her eyes.,She stayed up all night.,She put her son to bed.,cause,193,0
Lava flowed from the volcano.,The volcano erupted.,The volcano was dormant.,cause,194,0
The woman put her shoes on.,She knew everyone at the party.,She wanted to leave the party.,cause,195,1
I paid the tollbooth attendant.,She let me pass through the tollbooth.,She detained me at the tollbooth.,effect,196,0
The executive went bankrupt.,He sold his company stock.,He squandered his fortune.,cause,197,1
The man went to the doctor.,The doctor was on leave.,The man felt ill.,cause,198,1
I exited my bedroom through the window.,The house was on fire.,The house was empty.,cause,199,0
The boy's fingers became pruny.,He took a long shower.,He lathered his hands with soap.,cause,200,0
I spit out the milk.,The milk tasted sour.,My mouth was dry.,cause,201,0
I missed the bus.,I was early to work.,I was late to work.,effect,202,1
The truck collided with the car.,The truck sped up.,The car got smashed.,effect,203,1
The team rigged the contest in their favor.,They won., They dropped out.,effect,204,0
The soda bottle hissed.,I turned over the bottle.,I twisted off the cap.,cause,205,1
The boy was locked out of his house.,He crawled in through an open window.,He climbed up to the roof.,effect,206,0
The doorbell rang.,The visitor tapped the knocker on the door.,The woman peered through the keyhole in the door.,effect,207,1
The man stained his suit.,He got it dry-cleaned.,He hung it in his closet.,effect,208,0
The girl squeezed the tube of toothpaste.,The toothpaste squirted out of the tube.,The girl spit out the toothpaste.,effect,209,0
Civilian deaths from the war surged.,Pacifists staged a protest.,Pacifists held a parade.,effect,210,0
The girl yanked the ribbon out of her hair.,She tied the ribbon.,The ribbon looked babyish.,cause,211,1
The man got plastic surgery.,He aged.,He looked younger.,effect,212,1
A baby chicken emerged from the egg.,The egg hatched.,I cracked the egg.,cause,213,0
The prisoner starved.,He died.,He fled.,effect,214,0
The man lost his balance on the ladder.,He climbed up the ladder.,He fell off the ladder.,effect,215,1
The child burped.,He took a swig of soda.,He opened the soda can.,cause,216,0
A cold draft came in through the window.,I relaxed.,I shivered.,effect,217,1
The student received a scholarship to go to college.,Her classmates respected her.,She made good grades.,cause,218,1
The girl poked fun at the boy.,She lived next door to him.,She had a crush on him.,cause,219,1
The hungry vagrant stole food.,He incited pity.,He had no money.,cause,220,1
I called my friend to chat.,I wanted privacy.,I felt lonely.,cause,221,1
The man extended his hand to me.,I shook his hand.,I slapped him.,effect,222,0
I ducked.,The fireworks launched up in the air.,The frisbee soared towards my head.,cause,223,1
The girl bit her nails.,She was worried.,She was surprised.,cause,224,0
I turned the page on the calendar.,I marked an appointment on the calendar.,It was the beginning of a new month.,cause,225,1
The husband discovered that his wife was having an affair.,He fired his lawyer.,He filed for divorce.,effect,226,1
The girl dropped the rubber ball.,The ball bounced.,The ball glowed.,effect,227,0
The girl made a mistake on her exam.,She guessed at the answer.,She erased her answer.,effect,228,1
The player tackled his opponent.,His opponent caught the pass.,His opponent hit the ground.,effect,229,1
I picked the tomatoes from the vine.,They were ripe.,I watered them.,cause,230,0
The man wanted to act romantic.,He met his ex-girlfriend for lunch.,He bought his girlfriend chocolates.,effect,231,1
The mercury in the thermometer rose.,I dropped the thermometer.,The weather got warmer.,cause,232,1
A tornado came through the town.,The roof of the courthouse blew off.,The highway became dangerously icy.,effect,233,0
The student received tutoring.,His grades improved.,He cheated on the exam.,effect,234,0
I felt comfortable.,I kneeled down on the ground.,I wrapped myself in a blanket.,cause,235,1
I polished the stone.,It became slippery.,It became shiny.,effect,236,1
I added sugar to the coffee.,The coffee smelled strong.,The coffee tasted sweet.,effect,237,1
The man shuffled through the papers.,He got a paper cut.,He shredded the papers.,effect,238,0
I pounded the nail with the hammer.,The nail sunk into the wood.,The nail became rusty.,effect,239,0
The fish bit the line.,The fisherman reeled in the fish.,The fisherman recast the line.,effect,240,0
The teenager was embarrassed to go to school.,She got a pimple.,She got her braces off.,cause,241,0
My facial expression lit up.,I received good news.,I lost my patience.,cause,242,0
I wiped my hands with a towel.,The towel was wet.,My hands were wet.,cause,243,1
The man lost his balance on the stool.,The stool wobbled underneath him.,He spilled paint on the stool.,cause,244,0
The teammates directed blame at each other.,They lost their game.,Their coach cancelled practice.,cause,245,0
I asked for forgiveness.,I regretted my mistake.,I achieved my goal.,cause,246,0
The woman became bored with her date.,He asked her questions about herself.,He talked incessantly about himself.,cause,247,1
The girl flashed a smile.,Her cheeks reddened.,Her dimples showed.,effect,248,1
The enemy ship blew up.,It passed over the mine.,It sailed into the harbor.,cause,249,0
The man punctured his foot.,He walked into a puddle.,He stepped on broken glass.,cause,250,1
The detectives dusted the crime scene for fingerprints.,They discovered the identity of the murderer.,They found the weapon at the crime scene.,effect,251,0
There was a lot of traffic on the highway.,I took a detour.,I asked for a ride.,effect,252,0
The nation's economy declined.,Many people got sick.,Many people faced unemployment.,effect,253,1
The crossing guard blew her whistle at the children.,They were about to walk into oncoming traffic.,She recognized them from her neighborhood.,cause,254,0
I rolled my eyes at my friend.,He told me the truth.,He made a sarcastic remark.,cause,255,1
The car ran out of gas.,The driver was stranded on the road.,The driver picked up a hitchhiker.,effect,256,0
The woman went into labor.,The baby was delivered.,The woman had morning sickness.,effect,257,0
The man's hat blew away.,He took off the hat.,It was windy outside.,cause,258,1
The girl attended her classmate's birthday party.,She received an invitation.,She bought a gift.,cause,259,0
The boy's forehead felt hot.,His mother took his temperature.,His mother took him to the park.,effect,260,0
The man sprayed himself with cologne.,He wanted to impress his date.,He put gel in his hair.,cause,261,0
The electricity in the house shut off.,I looked for a flashlight.,I picked up a shovel.,effect,262,0
The family moved into a bigger house.,The son graduated from high school.,The mother gave birth to twins.,cause,263,1
The marathoner kept at a slow pace.,She wanted to conserve her energy.,She saw the finish line.,cause,264,0
The boy kicked the vending machine.,The machine spit out the change.,The bag of chips was stuck.,cause,265,1
My friend's dog died.,I rolled my eyes at him.,I gave him a hug.,effect,266,1
The businessman's credit card got declined.,He wrote an IOU.,He paid with cash.,effect,267,1
The man cursed.,He clipped his nails.,He stubbed his toe.,cause,268,1
The man felt proud of his brother.,His brother got in an argument with their parents.,His brother got accepted into law school.,cause,269,1
The girl wanted to learn about the solar system.,She went to the library.,She looked at the stars.,effect,270,0
The poster stuck to the wall.,I positioned the poster above the door.,I put tape on the back of the poster.,cause,271,1
The client approved the architect's plans for the building.,The architect constructed the building.,The architect adjusted the plans.,effect,272,0
The man dropped his spoon.,His hand was shaking.,He licked the spoon.,cause,273,0
The CEO of the company resigned.,The board of directors dissolved the company.,The board of directors found his replacement.,effect,274,1
I arrived late to the lecture.,I took a seat in the back row.,I approached the podium.,effect,275,0
The man was released from jail.,His family paid his bail.,He attacked a fellow inmate.,cause,276,0
The family lost all their belongings.,They sold their house.,Their house caught fire.,cause,277,1
I stomped on the aluminum can.,The can was recycled.,The can got crushed.,effect,278,1
The girl joined the debate team.,She learned to use a computer.,She learned communication skills.,effect,279,1
My mood improved.,I listened to music.,I did the dishes.,cause,280,0
The charity made a goal to raise money.,They fed the homeless.,They held an auction.,effect,281,1
The roller coaster plunged down the steep drop.,The passengers giggled.,The passengers screamed.,effect,282,1
I was furious.,I checked the mailbox upon leaving the house.,I slammed the door upon leaving the house.,effect,283,1
The man wanted to watch the sunrise.,He travelled north.,He got up early.,effect,284,1
I folded the paper.,I recycled the paper.,The paper creased.,effect,285,1
The nation endured a natural disaster.,Leaders of other countries formed an alliance.,Leaders of other countries sent emergency relief.,effect,286,1
The boy's clothes got soaked.,He climbed out of the pool.,He fell into the pool.,cause,287,1
The student rushed to finish the book.,It was due to be returned to the library.,He borrowed it from a friend.,cause,288,0
The criminal was executed.,He was thrown in jail.,He was convicted of murder.,cause,289,1
Sunlight entered the room.,I opened the curtains.,I unlocked the door.,cause,290,0
I yanked the imposter's hair.,Her wig came off.,She went bald.,effect,291,0
The editor reworded a sentence in the manuscript.,He found the manuscript compelling.,He deemed the sentence unclear.,cause,292,1
The woman cancelled her credit card account.,She realized the card was missing.,She realized the card was expired.,cause,293,0
The man and woman fell in love.,They attended college.,They got married.,effect,294,1
The music was too faint to hear.,I turned up the volume.,I composed my own song.,effect,295,0
The boy's hair was sticking up.,The girl ruffled it.,The girl pulled it.,cause,296,0
The bug got squashed.,I sprayed myself with bug repellent.,I stepped on the bug.,cause,297,1
I opened my eyes.,I woke up.,I relaxed.,cause,298,0
My neighbor's music was blaring.,I asked him to turn it down.,I asked to borrow the CD from him.,effect,299,0
The man's family lived in poverty.,He was frugal with his earnings.,He earned below minimum wage.,cause,300,1
The student graduated from the university.,He looked for a job.,He took up a hobby.,effect,301,0
The artist mixed yellow paint into blue paint.,The paint splattered everywhere.,The paint turned green.,effect,302,1
I changed the topic of conversation.,I ran out of things to talk about.,The conversation became tense.,cause,303,1
My brother was released from the hospital.,I welcomed him back home.,I gave him the cold shoulder.,effect,304,0
The curtain on the stage went up.,The opening scene of the play began.,The actors in the play exited the stage.,effect,305,0
The hostage submitted to the kidnapper's mandates.,The kidnapper threatened to hurt the hostage.,The kidnapper left the hostage by himself.,cause,306,0
A boom reverberated across the stage.,The musician tapped his foot.,The musician pounded the drum.,cause,307,1
The parents rushed to their child's bedroom.,The child awoke screaming from a nightmare.,The child was scared to look under her bed.,cause,308,0
The woman communicated with sign language.,She was born premature.,She was born deaf.,cause,309,1
A drought occurred in the region.,The water became contaminated.,The crops perished.,effect,310,1
The cat chased the bird.,The bird flew away.,The bird caught a worm.,effect,311,0
The girl switched schools.,School let out for the summer.,She moved to a new town.,cause,312,1
The factory owner refused to raise employees' wages.,The owner appointed a new manager.,The employees went on strike.,effect,313,1
The leader antagonized the extremists among his country.,The extremists influenced him.,The extremists assassinated him.,effect,314,1
I walked barefoot on the beach.,Sand stuck to my feet.,Waves crashed along the shore.,effect,315,0
I woke up in the middle of the night feeling cold.,I put sweatpants on.,I drank a glass of water.,effect,316,0
The mother hushed her son.,Her son smirked.,Her son whined.,cause,317,1
A hole ripped in my jeans.,I zipped up the jeans.,I tripped on the pavement.,cause,318,1
The boy wore braces.,He got a cavity.,His teeth became straight.,effect,319,1
I worked out at the gym yesterday.,I woke up today with sore muscles.,I woke up today with a sore throat.,effect,320,0
The girl whispered back and forth to each other at the lunch table.,Other students sat down at the lunch table.,Other students at the lunch table felt left out.,effect,321,1
The child landed on the trampoline.,She sprung back up into the air.,She decided to try to do a flip.,effect,322,0
I deposited the letter in the mailbox.,The post office delivered the letter.,The post office expedited the letter.,effect,323,0
The gambler was confident.,He bet all of his money.,He went home broke.,effect,324,0
The forest fire spread.,The winds became stronger.,The arsonists were apprehended.,cause,325,0
The child skinned his knee.,His mother sent him to his room.,His mother put a bandage on the wound.,effect,326,1
The man survived the deadly illness.,He signed his will.,He received an organ transplant.,cause,327,1
I took a sip of the scalding coffee.,I bit my tongue.,I burnt my tongue.,effect,328,1
The editor fired the writer.,The writer avoided bias in her stories.,The writer missed an important deadline.,cause,329,1
I felt exhausted.,I slept all day.,I studied all day.,cause,330,1
The physician diagnosed the patient.,She identified the patient's symptoms.,She prescribed pills to the patient.,cause,331,0
I scratched my skin.,It was sweaty.,It felt itchy.,cause,332,1
The man underwent emergency surgery.,He lost his temper.,He suffered a heart attack.,cause,333,1
The man's arm muscles bulged.,He flexed his arms.,He rubbed his arms.,cause,334,0
The man raised his eyebrows.,He was surprised.,He felt discouraged.,cause,335,0
I excused my colleague's blunder.,I believed his intentions were good.,I believed that he knew better.,cause,336,0
The man quit smoking.,He began exercising more.,He started waking up earlier.,effect,337,0
The woman punched her attacker in the nose.,The attacker's body went lifeless.,The attacker started to bleed.,effect,338,1
The dart missed the bull's eye.,The man's aim was off.,The man was losing the game.,cause,339,0
The homeowner requested that an exterminator come to his house.,He discovered rats in the basement.,He kept an ant farm in his room.,cause,340,0
I suggested to my houseguest that we go out to dinner.,I was too tired to prepare anything.,My houseguest overstayed her welcome.,cause,341,0
The girl caught her brother reading her diary.,She started hiding the diary.,She got a new diary.,effect,342,0
The woman was short on money for rent.,She worked overtime.,She quit her job.,effect,343,0
The child's hand quickly recoiled.,He touched the hot stove.,He patted the puppy's head.,cause,344,0
The company wanted to gauge customer satisfaction.,They offered a discount to new customers.,They distributed a survey to customers.,effect,345,1
The wood floor became scratched.,The boy threw the cushions off the couch.,The boy dragged a chair across the floor.,cause,346,1
I shielded my face.,My enemy taunted me.,My enemy cocked a fist.,cause,347,1
The famous statue burned down.,It was struck by lightning.,People came to venerate it.,cause,348,0
